we did what we could .	kami melakukan yang kami bisa .
he is sure to come .	dia pasti akan datang .
is there a washing machine in her house ?	apa ada mesin cuci di dalam rumahnya ?
thank you for your honesty .	terima kasih atas kejujuran anda .
tom has a lot of screwdrivers .	tom punya banyak obeng .
that s what interests me .	itulah yang membuatku tertarik .
what time does it open ?	bukanya pada pukul berapa ?
i think you ve got the flu .	saya kira anda terkena flu .
don t hesitate to ask questions if you don t understand .	jangan ragu untuk menanyakan pertanyaan jika tidak mengerti .
he arrived shortly after .	dia tiba tidak lama kemudian .
i can t remember the melody to that song .	saya tidak bisa mengingat melodi lagu itu .
it s me .	ini aku .
i hugged her .	aku memeluknya .
how much does it cost ?	berapa harganya ?
don t change a thing .	jangan ubah apa pun !
tom s stupid .	tom bodoh .
why don t you go fishing with us this weekend if you aren t busy ?	mengapa kamu tidak ikut memancing dengan kami akhir minggu ini , jika kamu tidak sibuk ?
i think tom would disagree .	saya rasa tom tidak akan setuju .
you must finish this by 2 : 30 .	kalian harus menyelesaikan ini sebelum pukul 2 . 30 .
i found the money .	aku menemukan uangnya .
tom slipped and fell .	tom jatuh terpeleset .
please bathe the children .	tolong mandikan anak anak .
where does he want to go ?	dia ingin pergi ke mana ?
my head hurts .	kepalaku sakit .
i don t care .	aku tidak peduli .
do you need a place to stay ?	apakah anda butuh tempat tinggal ?
it is under the chair .	itu ada di bawah kursi .
don t be too sure .	jangan terlalu yakin .
i m not busy anymore .	aku tidak lagi sibuk .
the cat slept on the table .	kucing itu tidur di atas meja .
there is no place like home .	hujan emas di negeri orang , hujan batu di negeri sendiri , baik jua di negeri sendiri .
that s not a cat . that s a dog .	itu bukan kucing , itu anjing .
tom wished he had more time .	tom berharap dia memiliki waktu yang lebih panjang .
i eat rice .	aku makan nasi .
i tried to warn her , but she wouldn t listen .	saya mencoba memperingatinya , tetapi ia tidak ingin mendengar .
it looks like an apple .	itu terlihat seperti apel .
i brought you a little something .	aku membawakanmu sesuatu .
this is my life .	inilah hidupku .
tom and mary are incompatible .	tom dan mary tidak cocok .
i may be too old .	saya mungkin sudah terlalu tua .
that felt good .	itu tadi enak .
bring me today s paper .	bawakan aku koran hari ini .
tom only listens to hip hop music .	tom hanya mendengarkan musik hip hop .
it is almost three .	sekarang hampir jam tiga .
i haven t told you everything .	aku belum memberitahumu semuanya .
can i borrow those ?	bolehkah saya meminjam itu ?
my watch is five minutes fast .	jam tanganku lebih cepat lima menit .
i commute to work by bicycle .	saya pergi kerja naik sepeda .
it was tom that broke the window yesterday .	yang memecahkan kaca kemarin adalah tom .
i would like an apple .	saya ingin satu buah apel .
i m going to be an uncle .	aku akan menjadi seorang paman .
love is blind . hatred is also blind .	cinta itu buta . benci pun juga .
have you eaten yet ?	kamu sudah makan atau belum ?
i don t know when tom started studying french .	saya tidak tahu mengapa tom memulai belajar bahasa prancis .
tom lost his car keys .	tom kehilangan kunci mobilnya .
i think you should talk to tom about this .	saya rasa kamu harus berbicara dengan tom tentang hal ini .
you must keep your promise .	kamu harus menetapkan janjimu .
look at that big dog .	lihatlah anjing besar itu .
why don t you want to go ?	kenapa kamu tidak mau pergi ?
you need to know how important this is .	anda perlu tahu betapa pentingnya hal ini .
tom ate only one slice of bread .	tom cuma makan satu potong roti .
